ufs_serial,run_id,wafer_no,date,die_x,die_y,health,split,position,pred
S00320,54,14,2025-11-28,26,21,0.0,val,1,0.0006982310972309
S00674,54,24,2025-11-28,56,21,0.0,val,1,0.0027163910873072
S00675,54,8,2025-11-28,31,16,0.0,val,1,0.002015199862546
S00678,54,8,2025-11-28,40,20,0.0,val,1,0.0020554380816346
S00760,54,17,2025-11-28,36,24,0.0,val,1,0.0008319783339951
S01382,54,17,2025-11-28,55,21,0.0029361548777389,val,1,0.0007464413252273
S01784,54,1,2025-11-28,34,28,0.0089317806052764,val,1,0.0026632088767744
S01785,54,3,2025-11-28,24,24,0.005727951133777,val,1,0.0027183764347932
S01881,54,8,2025-11-28,32,15,0.0014665179493534,val,1,0.0021416595885492
S02129,54,3,2025-11-28,33,23,0.0,val,1,0.0027938658056703
S02132,54,1,2025-11-28,27,30,0.0,val,1,0.0025581086231114
S02202,54,17,2025-11-28,43,12,0.0,val,1,0.001130550329982
S02203,54,9,2025-11-28,23,20,0.0,val,1,0.0008290795249375
S02204,54,9,2025-11-28,47,23,0.0,val,1,0.0006839067112319
S02435,54,17,2025-11-28,37,24,0.0,val,1,0.0007723459580337
S03118,54,9,2025-11-28,33,18,0.0,val,1,0.0006614548554265
S03288,54,25,2025-11-28,59,16,0.0,val,1,0.0024937289773315
S03500,54,11,2025-11-28,26,29,0.0,val,1,0.0009040215550804
S03840,54,1,2025-11-28,29,24,0.0,val,1,0.0030058473508215
S04264,54,1,2025-11-28,26,20,0.0,val,1,0.0029899210082091
S05040,54,11,2025-11-28,50,29,0.0,val,1,0.0008123478967292
S05046,54,17,2025-11-28,39,17,0.0,val,1,0.0007666945756851
S05190,54,14,2025-11-28,33,22,0.0,val,1,0.0007363292011813
S05494,54,25,2025-11-28,30,16,0.0,val,1,0.00220095189971
S05521,54,14,2025-11-28,27,19,0.0,val,1,0.0006687038140632
S05523,54,11,2025-11-28,53,25,0.0,val,1,0.0009276653836324
S06050,54,9,2025-11-28,35,17,0.0,val,1,0.0006779417844784
S06575,54,11,2025-11-28,42,29,0.00156002322771,val,1,0.0009750951284212
S06585,54,24,2025-11-28,56,25,0.0,val,1,0.0026124252955632
S06871,54,1,2025-11-28,32,13,0.0,val,1,0.0028872792619657
S07069,54,16,2025-11-28,59,19,0.0,val,1,0.0008722212445015
S07656,54,14,2025-11-28,29,13,0.0,val,1,0.0008446732301672
S07779,54,9,2025-11-28,35,11,0.0074019229255361,val,1,0.0012698447321841
S07902,54,3,2025-11-28,47,16,0.005367599570592,val,1,0.0028113363914607
S07970,54,1,2025-11-28,32,15,0.0058383493799837,val,1,0.0029758996432387
S07971,54,3,2025-11-28,39,29,0.0094110741074746,val,1,0.0028245773871045
S08150,54,8,2025-11-28,23,28,0.0102369394915172,val,1,0.0021164155857479
S08780,54,16,2025-11-28,61,24,0.0,val,1,0.0008425433790384
S08782,54,17,2025-11-28,45,29,0.0,val,1,0.0007336564862492
S09788,54,17,2025-11-28,32,32,0.0,val,1,0.0011853324487165
S10722,54,17,2025-11-28,34,20,0.0,val,1,0.000839277987821
S10905,54,24,2025-11-28,18,21,0.0212200710656527,val,1,0.0024084085384772
S11778,54,17,2025-11-28,44,22,0.0,val,1,0.0008476418348506
S11783,54,9,2025-11-28,59,22,0.0,val,1,0.0007676362566323
S11984,54,3,2025-11-28,59,26,0.0,val,1,0.0027174352502473
