ufs_serial,run_id,wafer_no,date,die_x,die_y,health,split,position,pred
S00167,36,5,2025-11-18,18,25,0.0087514251880808,val,1,0.0033346010483871
S00173,36,20,2025-11-18,47,23,0.0,val,1,0.0033189501910114
S00359,36,5,2025-11-18,22,15,0.0,val,1,0.0034069920172787
S00419,36,6,2025-11-18,48,22,0.0,val,1,0.0034849548325879
S00421,36,25,2025-11-18,46,19,0.0,val,1,0.0034799717888763
S00425,36,21,2025-11-18,59,25,0.0044332646489514,val,1,0.0032847210507379
S00427,36,11,2025-11-18,61,18,0.006688108086286,val,1,0.0032860052734395
S00428,36,13,2025-11-18,23,28,0.0,val,1,0.0034113391514463
S00431,36,13,2025-11-18,38,14,0.0,val,1,0.003418639838413
S00437,36,15,2025-11-18,29,13,0.0,val,1,0.0033339818222304
S00699,36,12,2025-11-18,31,27,0.0,val,1,0.0034429273472836
S00810,36,8,2025-11-18,49,29,0.0,val,1,0.0033890868398072
S00811,36,19,2025-11-18,27,17,0.0,val,1,0.0033264804003296
S00812,36,13,2025-11-18,53,27,0.0,val,1,0.003366772394146
S00885,36,21,2025-11-18,46,11,0.0,val,1,0.0026452137254193
S00979,36,23,2025-11-18,20,18,0.0,val,1,0.0034344662378342
S00987,36,14,2025-11-18,32,28,0.0,val,1,0.0034423090885935
S00994,36,17,2025-11-18,39,21,0.0,val,1,0.0033852200455933
S01190,36,3,2025-11-18,22,19,0.0,val,1,0.0035150391405792
S01255,36,10,2025-11-18,32,23,0.0028927555970746,val,1,0.0034766296056869
S01257,36,10,2025-11-18,44,18,0.0057897066703944,val,1,0.0034815317846843
S01261,36,3,2025-11-18,41,24,0.008800899568809,val,1,0.0034715086788371
S01263,36,2,2025-11-18,37,22,0.0,val,1,0.0034083986167078
S01266,36,4,2025-11-18,48,24,0.0058884860548328,val,1,0.0034530802517493
S01269,36,1,2025-11-18,36,14,0.0,val,1,0.002515432883275
S01305,36,4,2025-11-18,15,22,0.0,val,1,0.0034228902817756
S01472,36,12,2025-11-18,21,29,0.0159758506621781,val,1,0.0031215093579454
S01677,36,14,2025-11-18,36,17,0.0115598197412414,val,1,0.0034873667545992
S01679,36,17,2025-11-18,38,25,0.005924124716533,val,1,0.0034462983028356
S01680,36,19,2025-11-18,59,24,0.0029569340698895,val,1,0.0032822086646942
S01686,36,25,2025-11-18,32,17,0.0058016692931769,val,1,0.0034612880432103
S01693,36,23,2025-11-18,32,21,0.0,val,1,0.003346547583251
S01700,36,13,2025-11-18,31,16,0.0071772476915834,val,1,0.0034615405383654
S01703,36,13,2025-11-18,33,27,0.0058219047702719,val,1,0.0034712577806608
S01704,36,12,2025-11-18,41,19,0.0043334583089921,val,1,0.0033965934294108
S02052,36,20,2025-11-18,54,14,0.0099695097488566,val,1,0.0033100452270114
S02058,36,6,2025-11-18,26,22,0.0,val,1,0.0034816820752687
S02067,36,11,2025-11-18,49,23,0.0,val,1,0.0034674776543728
S02192,36,8,2025-11-18,52,26,0.0,val,1,0.0034374091985531
S02503,36,14,2025-11-18,50,31,0.0,val,1,0.0032738388210056
S02582,36,18,2025-11-18,54,28,0.0,val,1,0.0033839662685624
S02779,36,11,2025-11-18,24,28,0.0,val,1,0.0033586300327129
S02806,36,20,2025-11-18,23,22,0.0,val,1,0.0033952909796326
S03009,36,11,2025-11-18,58,25,0.0,val,1,0.0033914165893959
S03012,36,18,2025-11-18,30,26,0.0,val,1,0.0034692454393078
S03014,36,19,2025-11-18,19,17,0.0,val,1,0.0033385562794751
S03084,36,6,2025-11-18,36,12,0.0062018986295301,val,1,0.0033298019923144
S03088,36,17,2025-11-18,52,28,0.0089585868144743,val,1,0.0033159826995396
S03090,36,16,2025-11-18,58,26,0.0106769538610737,val,1,0.0033070224737477
S03092,36,25,2025-11-18,56,19,0.0060644330761745,val,1,0.0033669471679098
S03093,36,20,2025-11-18,57,21,0.0045316531872019,val,1,0.0032430916819506
S03095,36,17,2025-11-18,23,19,0.0030099048276572,val,1,0.0034581165812288
S03100,36,19,2025-11-18,51,22,0.004680730834432,val,1,0.0034157038752704
S03102,36,9,2025-11-18,41,27,0.0030333824655845,val,1,0.0034500326327726
S03108,36,13,2025-11-18,19,21,0.0031107313974194,val,1,0.0034344242042642
S03111,36,12,2025-11-18,37,16,0.0,val,1,0.0033955621370951
S03148,36,25,2025-11-18,41,11,0.0,val,1,0.0031248482673009
S03150,36,21,2025-11-18,38,11,0.0045204420392014,val,1,0.0029967057506772
S03201,36,2,2025-11-18,39,13,0.0,val,1,0.0034648225753462
S03506,36,25,2025-11-18,22,25,0.0,val,1,0.0033186427249854
S03509,36,12,2025-11-18,25,19,0.0,val,1,0.0034637798192313
S03997,36,5,2025-11-18,55,23,0.0,val,1,0.0034089277299581
S04082,36,3,2025-11-18,42,20,0.0,val,1,0.0034169513337932
S04083,36,2,2025-11-18,38,24,0.0,val,1,0.0033063813798437
S04465,36,6,2025-11-18,35,20,0.0,val,1,0.0034781569532102
S04612,36,1,2025-11-18,46,21,0.0,val,1,0.0028417817794799
S04720,36,20,2025-11-18,39,22,0.0,val,1,0.0032462408112969
S04818,36,2,2025-11-18,32,12,0.0,val,1,0.0034156034455605
S04836,36,17,2025-11-18,20,21,0.0,val,1,0.0033947356968211
S04837,36,16,2025-11-18,45,25,0.0,val,1,0.0033915604634563
S04840,36,6,2025-11-18,57,21,0.0,val,1,0.0034344300091438
S04841,36,6,2025-11-18,60,19,0.0,val,1,0.0034370165651499
S04843,36,14,2025-11-18,19,17,0.0,val,1,0.0034875702098917
S04848,36,10,2025-11-18,45,21,0.0,val,1,0.0034605138243624
S04849,36,19,2025-11-18,27,18,0.0,val,1,0.0033953738604494
S05175,36,4,2025-11-18,39,25,0.0,val,1,0.0034638875464282
S05276,36,11,2025-11-18,16,22,0.0,val,1,0.0034358591483723
S05283,36,9,2025-11-18,52,26,0.0,val,1,0.0034207059520144
S05567,36,15,2025-11-18,21,14,0.0085155524486068,val,1,0.003261453152581
S05706,36,2,2025-11-18,17,24,0.0,val,1,0.0034453246470406
S05721,36,6,2025-11-18,28,29,0.0070150180668473,val,1,0.0033478577842751
S06073,36,6,2025-11-18,22,16,0.0,val,1,0.0032959814377841
S06099,36,19,2025-11-18,57,26,0.0,val,1,0.0031600511887896
S06480,36,6,2025-11-18,42,27,0.0015493001652171,val,1,0.0034241043537863
S06484,36,4,2025-11-18,29,13,0.0061194838455476,val,1,0.0033749602929191
S06500,36,2,2025-11-18,55,24,0.0169399618254381,val,1,0.0033952173609229
S06569,36,3,2025-11-18,24,20,0.0,val,1,0.0035115828636591
S06786,36,14,2025-11-18,59,28,0.0,val,1,0.0033111735574511
S06849,36,4,2025-11-18,48,28,0.0023133279340166,val,1,0.003184492339109
S06975,36,25,2025-11-18,43,13,0.0,val,1,0.0033230777593028
S06996,36,1,2025-11-18,45,14,0.0,val,1,0.0024587848623544
S07001,36,15,2025-11-18,52,13,0.0112873481772181,val,1,0.0033203809508976
S07004,36,11,2025-11-18,38,30,0.0022679151608075,val,1,0.0033577640297123
S07118,36,14,2025-11-18,44,16,0.0,val,1,0.0034554386740392
