ufs_serial,run_id,wafer_no,date,die_x,die_y,health,split,position,pred
S02248,322,1,2026-06-10,35,14,0.0,val,1,0.0025890691390569
S04808,322,1,2026-06-10,28,30,0.0,val,1,0.0030558358467172
S06727,322,1,2026-06-10,19,16,0.0,val,1,0.0027585307681786
S09346,322,1,2026-06-10,33,26,0.0,val,1,0.0030359604524514
S10970,322,1,2026-06-10,53,16,0.0160836739382995,val,1,0.0029966164299108
S22071,322,1,2026-06-10,14,19,0.0,val,1,0.0029866091299749
S23475,322,1,2026-06-10,54,27,0.0,val,1,0.003157124825186
S34160,322,1,2026-06-10,51,30,0.0,val,1,0.0026636834477129
S34939,322,1,2026-06-10,15,22,0.0,val,1,0.0025929629186634
S38800,322,1,2026-06-10,49,19,0.0,val,1,0.0030392324811591
S42124,322,1,2026-06-10,24,18,0.0132024247833686,val,1,0.0027467581757225
S02248,322,1,2026-06-10,33,14,0.0,val,2,0.002510007875768
S04808,322,1,2026-06-10,32,31,0.0,val,2,0.0028878623356854
S06727,322,1,2026-06-10,17,17,0.0,val,2,0.0029026048754281
S09346,322,1,2026-06-10,31,26,0.0,val,2,0.0030832956759849
S10970,322,1,2026-06-10,45,16,0.0160836739382995,val,2,0.0027016245647813
S22071,322,1,2026-06-10,16,19,0.0,val,2,0.0028854328980972
S23475,322,1,2026-06-10,56,27,0.0,val,2,0.0030023316836845
S34160,322,1,2026-06-10,50,30,0.0,val,2,0.0030415365200086
S34939,322,1,2026-06-10,13,22,0.0,val,2,0.0029406494790562
S38800,322,1,2026-06-10,51,19,0.0,val,2,0.0027851425991223
S42124,322,1,2026-06-10,22,18,0.0132024247833686,val,2,0.0030985204807216
S02248,322,1,2026-06-10,49,14,0.0,val,3,0.0025783942324545
S04808,322,1,2026-06-10,32,30,0.0,val,3,0.003028989208535
S06727,322,1,2026-06-10,23,16,0.0,val,3,0.0027510643509742
S09346,322,1,2026-06-10,37,26,0.0,val,3,0.0032025645857723
S10970,322,1,2026-06-10,57,16,0.0160836739382995,val,3,0.0028168320040619
S22071,322,1,2026-06-10,20,18,0.0,val,3,0.0030096971765436
S23475,322,1,2026-06-10,46,27,0.0,val,3,0.0031751544146724
S34160,322,1,2026-06-10,55,29,0.0,val,3,0.0030628903319431
S34939,322,1,2026-06-10,19,22,0.0,val,3,0.0030230918641234
S38800,322,1,2026-06-10,30,19,0.0,val,3,0.0029143173954356
S42124,322,1,2026-06-10,30,18,0.0132024247833686,val,3,0.0030431412896367
S02248,322,1,2026-06-10,44,14,0.0,val,4,0.0024531580888144
S04808,322,1,2026-06-10,30,30,0.0,val,4,0.0031077863375842
S06727,322,1,2026-06-10,21,16,0.0,val,4,0.0025239043480847
S09346,322,1,2026-06-10,35,26,0.0,val,4,0.0030961357470585
S10970,322,1,2026-06-10,55,16,0.0160836739382995,val,4,0.0029731792557251
S22071,322,1,2026-06-10,16,18,0.0,val,4,0.002501173326596
S23475,322,1,2026-06-10,51,27,0.0,val,4,0.0029390656832313
S34160,322,1,2026-06-10,52,30,0.0,val,4,0.0030852783906178
S34939,322,1,2026-06-10,17,22,0.0,val,4,0.0026986553294191
S38800,322,1,2026-06-10,47,19,0.0,val,4,0.0030115141103839
S42124,322,1,2026-06-10,28,18,0.0132024247833686,val,4,0.0030708113496785
S01434,322,2,2026-06-10,62,22,0.0,val,1,0.003001927312467
S01436,322,2,2026-06-10,37,22,0.005755112438917,val,1,0.0029191864646176
S01966,322,2,2026-06-10,56,29,0.0,val,1,0.0029823033937575
S02246,322,2,2026-06-10,50,18,0.0,val,1,0.0030210687827005
S02247,322,2,2026-06-10,18,17,0.0,val,1,0.0029284779782215
S02521,322,2,2026-06-10,38,32,0.0,val,1,0.0025023414192511
S03676,322,2,2026-06-10,27,28,0.0,val,1,0.0029901348495223
S06467,322,2,2026-06-10,37,19,0.0,val,1,0.0028911340932121
S06468,322,2,2026-06-10,15,20,0.0030076917025229,val,1,0.0030405971179897
S07342,322,2,2026-06-10,27,27,0.0,val,1,0.0030152296025901
S08362,322,2,2026-06-10,59,15,0.0,val,1,0.0023517936668731
S10966,322,2,2026-06-10,61,25,0.0069724375941115,val,1,0.0029868971474384
S13017,322,2,2026-06-10,58,18,0.0,val,1,0.0029228022884434
