ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S00461,28,23,2025-11-13,43,27,0.002634686092085,0.0,0.3306765408332679,train,1
S00463,28,23,2025-11-13,50,14,0.0025093449402617,0.0,0.2924375087747913,train,1
S00465,28,25,2025-11-13,23,26,0.0020174104086112,0.0,0.2902294620037666,train,1
S00467,28,23,2025-11-13,30,21,0.0020491388584181,0.0047907539412867,0.380404028768927,train,1
S00469,28,20,2025-11-13,31,20,0.0022971975976063,0.0024476488781198,0.395113252793296,train,1
S00472,28,25,2025-11-13,48,20,0.0023681508039571,0.0,0.2616405497462586,train,1
S00478,28,22,2025-11-13,27,26,0.0025964712210216,0.0,0.3246458633237905,train,1
S00484,28,16,2025-11-13,16,24,0.0021828510474587,0.0,0.4089912831242099,train,1
S00485,28,14,2025-11-13,42,22,0.0026366071038894,0.0,0.3037492473897991,train,1
S00493,28,5,2025-11-13,40,26,0.0006954318529409,0.0,0.2561643970051993,train,1
S00660,28,21,2025-11-13,23,27,0.0021627082483149,0.0,0.3505117381340636,train,1
S00662,28,25,2025-11-13,37,22,0.0019628784522576,0.0,0.3663034024765193,train,1
S00664,28,23,2025-11-13,34,13,0.0024709917084342,0.0,0.2426464468663807,train,1
S00666,28,4,2025-11-13,56,23,0.0018932035232976,0.0,0.2640604344346266,train,1
S00667,28,8,2025-11-13,46,30,0.00131663949408,0.0,0.2746319377616766,train,1
S00668,28,5,2025-11-13,34,31,0.0013393700639441,0.0,0.2422629910899433,train,1
S00670,28,10,2025-11-13,43,22,0.0020074640969943,0.0,0.2524664954931268,train,1
S00671,28,5,2025-11-13,34,16,0.0006502408438673,0.0,0.2207119821108447,train,1
S00673,28,14,2025-11-13,18,25,0.0015692597698894,0.0,0.2759641645018107,train,1
S00727,28,25,2025-11-13,32,30,0.0020136651493587,0.0,0.2864358000096634,train,1
S00728,28,24,2025-11-13,44,30,0.0016350891337483,0.0,0.4331262946144278,train,1
S00729,28,19,2025-11-13,63,22,0.002834572416001,0.0,0.3496937496814906,train,1
S00731,28,15,2025-11-13,59,25,0.0028011978900394,0.0,0.3872753623372864,train,1
S00732,28,19,2025-11-13,32,20,0.0031359597388258,0.0,0.448324763565976,train,1
S00733,28,20,2025-11-13,51,21,0.0026381345776442,0.0,0.3926171087812045,train,1
S00755,28,5,2025-11-13,59,16,0.0010456445426133,0.0,0.1719729087615063,train,1
S00881,28,12,2025-11-13,17,23,0.0007990747109288,0.0,0.3294637447651771,train,1
S00905,28,23,2025-11-13,59,28,0.0020365781237595,0.0,0.3175776826863744,train,1
S00906,28,24,2025-11-13,15,26,0.0013205779366328,0.0,0.4302612893378914,train,1
S01129,28,25,2025-11-13,44,22,0.0024256700408473,0.0,0.3146330470212455,train,1
S01130,28,8,2025-11-13,47,30,0.0013125807316165,0.0,0.309034409235138,train,1
S01133,28,25,2025-11-13,46,24,0.0018257082094726,0.0,0.2973564442405404,train,1
S01134,28,12,2025-11-13,34,19,0.001328635420646,0.0,0.2899597509794059,train,1
S01744,28,14,2025-11-13,42,32,0.0017299425786747,0.002976805474447,0.2860889538125219,train,1
S01746,28,4,2025-11-13,51,12,0.0018542690211239,0.0044648471890328,0.2695761791301387,train,1
S01794,28,16,2025-11-13,21,22,0.0021312976966208,0.0,0.3943205032899972,train,1
S01796,28,12,2025-11-13,25,17,0.0008372960059678,0.0,0.2460588840200925,train,1
S01863,28,15,2025-11-13,30,20,0.0023316143340512,0.0074317312494579,0.3470041775226648,train,1
S01866,28,22,2025-11-13,58,19,0.0021067185119117,0.0058951913268332,0.3427239740685028,train,1
S01867,28,19,2025-11-13,30,13,0.0027582508160397,0.0028537878722628,0.358011268822907,train,1
S01868,28,19,2025-11-13,53,21,0.0032416254500939,0.0043893736531599,0.3774396061918357,train,1
S01869,28,18,2025-11-13,42,23,0.0030634335464662,0.0100082563080207,0.4071950585343647,train,1
S01870,28,21,2025-11-13,53,28,0.0028025750610838,0.0014377542105659,0.3782275285774161,train,1
S01874,28,8,2025-11-13,29,29,0.0010169426022509,0.0073207304822255,0.2358364787746523,train,1
S01875,28,6,2025-11-13,60,25,0.0018491292693943,0.007245869708474,0.3148063790053405,train,1
S01877,28,4,2025-11-13,21,27,0.0018309115543716,0.0029669427654652,0.2483503584709131,train,1
S01878,28,3,2025-11-13,23,28,0.0023152379252307,0.0100184588448391,0.326965766142298,train,1
S01984,28,16,2025-11-13,32,15,0.0018813943227367,0.0,0.356785000100275,train,1
S01985,28,22,2025-11-13,56,22,0.0023934724131709,0.0,0.4102554553456157,train,1
S01986,28,15,2025-11-13,30,17,0.0030821783614228,0.0,0.3305334468511069,train,1
S01988,28,20,2025-11-13,34,21,0.0026870043861434,0.0,0.3821684114249858,train,1
S01990,28,18,2025-11-13,27,26,0.0029462919101881,0.0,0.4513032670280423,train,1
S01991,28,4,2025-11-13,26,29,0.002470713185856,0.0196559224836859,0.2641827489518802,train,1
S01992,28,5,2025-11-13,49,20,0.000602984815334,0.0,0.2364497690486073,train,1
