ufs_serial,run_id,wafer_no,date,die_x,die_y,health,split,position,pred
S02983,223,1,2026-05-30,25,25,0.0,val,1,0.0032250801278194
S04766,223,1,2026-05-30,46,16,0.0183151533018867,val,1,0.0032230091884905
S06963,223,1,2026-05-30,49,27,0.0,val,1,0.0031605266704804
S06965,223,1,2026-05-30,23,19,0.0,val,1,0.0032254477496177
S11246,223,1,2026-05-30,46,23,0.0240476912195614,val,1,0.0031998588621155
S13621,223,1,2026-05-30,55,22,0.0037166242283517,val,1,0.0031752876607419
S16434,223,1,2026-05-30,59,21,0.0,val,1,0.0032421815893154
S17847,223,1,2026-05-30,36,26,0.0224863503243517,val,1,0.0031487664265446
S19245,223,1,2026-05-30,52,27,0.0016993718820629,val,1,0.0032203367879947
S20090,223,1,2026-05-30,30,24,0.0,val,1,0.0032325355796627
S22148,223,1,2026-05-30,24,19,0.0,val,1,0.0031928669398396
S22815,223,1,2026-05-30,49,17,0.0016015570872929,val,1,0.0031711758564262
S22820,223,1,2026-05-30,31,25,0.003136913327779,val,1,0.0031869742643369
S23012,223,1,2026-05-30,26,23,0.0,val,1,0.0032258328426215
S28002,223,1,2026-05-30,22,29,0.0,val,1,0.0031644101386327
S29872,223,1,2026-05-30,45,16,0.0,val,1,0.0032184958529412
S30077,223,1,2026-05-30,37,17,0.0,val,1,0.0032266988086218
S31704,223,1,2026-05-30,47,23,0.0022185618184171,val,1,0.0032254614853663
S31707,223,1,2026-05-30,54,19,0.0,val,1,0.0032247267764379
S37058,223,1,2026-05-30,50,24,0.0,val,1,0.0031402035210328
S37079,223,1,2026-05-30,49,29,0.0,val,1,0.0032376462368189
S39496,223,1,2026-05-30,24,13,0.0,val,1,0.0030393306310035
S43286,223,1,2026-05-30,60,21,0.0097923895203699,val,1,0.0032258070665765
S02983,223,1,2026-05-30,27,25,0.0,val,2,0.0032374182699044
S04766,223,1,2026-05-30,43,16,0.0183151533018867,val,2,0.0032308931723825
S06963,223,1,2026-05-30,53,27,0.0,val,2,0.0032169197913566
S06965,223,1,2026-05-30,25,19,0.0,val,2,0.0032411314051771
S11246,223,1,2026-05-30,48,23,0.0240476912195614,val,2,0.002853577632357
S13621,223,1,2026-05-30,53,22,0.0037166242283517,val,2,0.0032115753975092
S16434,223,1,2026-05-30,61,21,0.0,val,2,0.0032202806553079
S17847,223,1,2026-05-30,32,26,0.0224863503243517,val,2,0.0031633375883875
S19245,223,1,2026-05-30,54,27,0.0016993718820629,val,2,0.0031497307773521
S20090,223,1,2026-05-30,28,24,0.0,val,2,0.0032274669821488
S22148,223,1,2026-05-30,26,19,0.0,val,2,0.0032386865350671
S22815,223,1,2026-05-30,55,17,0.0016015570872929,val,2,0.003266777533672
S22820,223,1,2026-05-30,33,25,0.003136913327779,val,2,0.0032055708378721
S23012,223,1,2026-05-30,31,23,0.0,val,2,0.0032056269233929
S28002,223,1,2026-05-30,26,30,0.0,val,2,0.0030558681156556
S29872,223,1,2026-05-30,42,16,0.0,val,2,0.0032519740798207
S30077,223,1,2026-05-30,43,17,0.0,val,2,0.0032282256752181
