idx,y_true,y_pred,diff,diff_abs
0,0.0,0.0006234064428401447,-0.0006234064428401447,0.0006234064428401447
1,0.0,0.000917002109135415,-0.000917002109135415,0.000917002109135415
2,0.0,0.0011759607795150395,-0.0011759607795150395,0.0011759607795150395
3,0.0,0.0012568726611733422,-0.0012568726611733422,0.0012568726611733422
4,0.0,0.001588529773618785,-0.001588529773618785,0.001588529773618785
5,0.0,0.0010461193405443968,-0.0010461193405443968,0.0010461193405443968
6,0.0,0.0008833343711008692,-0.0008833343711008692,0.0008833343711008692
7,0.0,0.0026176964907812274,-0.0026176964907812274,0.0026176964907812274
8,0.0,0.002674379442839803,-0.002674379442839803,0.002674379442839803
9,0.0,0.0036798345645272556,-0.0036798345645272556,0.0036798345645272556
10,0.0,0.0034966943914937184,-0.0034966943914937184,0.0034966943914937184
11,0.0,0.003170956418405614,-0.003170956418405614,0.003170956418405614
12,0.0,0.0028238614317167357,-0.0028238614317167357,0.0028238614317167357
13,0.0,0.003446659622584735,-0.003446659622584735,0.003446659622584735
14,0.0,0.004387846975725468,-0.004387846975725468,0.004387846975725468
15,0.0,0.0034224852015051275,-0.0034224852015051275,0.0034224852015051275
16,0.0,0.003966915403570491,-0.003966915403570491,0.003966915403570491
17,0.0,0.002723209819982495,-0.002723209819982495,0.002723209819982495
18,0.0,0.004024679137991816,-0.004024679137991816,0.004024679137991816
19,0.0,0.002916491998181858,-0.002916491998181858,0.002916491998181858
20,0.0,0.004231636133530895,-0.004231636133530895,0.004231636133530895
21,0.0024556306573382,0.004402051387687541,-0.0019464207303493408,0.0019464207303493408
22,0.0,0.0026900395327443018,-0.0026900395327443018,0.0026900395327443018
23,0.0,0.004143509138797031,-0.004143509138797031,0.004143509138797031
24,0.0024203995363741,0.0037455339777135565,-0.0013251344413394567,0.0013251344413394567
25,0.0,0.0031866363668929818,-0.0031866363668929818,0.0031866363668929818
26,0.0024294149851399,0.003647587383181875,-0.0012181723980419748,0.0012181723980419748
27,0.0024488066378919,0.0027747919457002997,-0.00032598530780839985,0.00032598530780839985
28,0.0024355223631917,0.0040422237913503335,-0.0016067014281586334,0.0016067014281586334
29,0.0,0.0020121042527252264,-0.0020121042527252264,0.0020121042527252264
30,0.0,0.00346772788544918,-0.00346772788544918,0.00346772788544918
31,0.0024454088310256,0.003107394295954627,-0.000661985464929027,0.000661985464929027
32,0.0,0.0027856039861904832,-0.0027856039861904832,0.0027856039861904832
33,0.0023918839575332,0.003051134385702402,-0.000659250428169202,0.000659250428169202
34,0.0,0.002521850204739785,-0.002521850204739785,0.002521850204739785
35,0.0024112401634015,0.002855842750501606,-0.00044460258710010605,0.00044460258710010605
